section_id,section_uuid,elementType,uiType,memo,orderIndex,banner_count
10310,9a0bc07b-16c0-41b8-b9cf-eb4d4e29a7da,BANNER,HOME_BANNER,아울렛 배너,0,12
10311,f33d2571-d413-4a16-921c-e412fc3978cb,BANNER,THEME_MENU,아울렛 아이콘,1,10
10312,ed21b222-d308-42dd-8bd9-3d6eb790e5df,MARGIN,DEFAULT,,2,0
10313,23d091a4-9634-4826-abe4-8a10c0b52c59,TITLE,DEFAULT,,3,0
10314,6f017029-2713-4515-8c3d-334743bf6ba2,CUSTOM,BEST_PRODUCT_SECTION,Weekly Best,4,0
29794,7220b16c-1b3e-45b6-99f9-bbaddcd104e5,TITLE,DEFAULT,노스페이스,5,0
29795,abd87bea-aa6e-4b06-810a-4e784e6618cb,PRODUCT,SWIPE,노스페이스,6,0
23209,969c72dc-d5ec-41ee-8d0b-62026dfdd3e0,TITLE,DEFAULT,로웬,7,0
21940,4336da52-9fee-4966-9bc3-da86f528c7ce,PRODUCT,SWIPE,로웬,8,0
21939,829b96a0-af04-4222-8c7e-55e2f18a0591,TITLE,DEFAULT,기존,9,0
23210,86393dc7-3812-4cb5-aede-e799f1adc076,PRODUCT,SWIPE,기존,10,0
10321,d018979c-5380-473f-ae36-b7a27760b3d7,TITLE,DEFAULT,,11,0
10322,48da21a9-6a03-4218-bff7-b3127c214950,BANNER,MAGAZINE,이번주 특가 소식,12,2
10317,ce20d48d-81c5-4a2a-b6c1-9e8c2ac6c16e,MARGIN,DEFAULT,,13,0
10318,1c005ff6-5cd4-4cc0-b494-f97f7f345b83,TITLE,DEFAULT,,14,0
10319,8c6f5554-c81b-4ac5-a518-e71581aaf061,BANNER,TRIPLE_GRID,내 손안의 아울렛,15,12
10320,3ea15eb5-9af4-4b55-b0bf-0e44aee9fdc5,MARGIN,DEFAULT,,16,0
10323,161f2e6d-2840-4e48-b13f-a479850eb079,TITLE,CURATION,,17,0
10324,57ce77ee-ee7a-4365-8251-ce8092cf62e0,PRODUCT,DUAL_LIST,님,18,0
